Orthogroup	Duplications (all)	Duplications (50% support)
OG0000655	28	24
OG0000656	17	13
OG0000657	16	13
OG0000658	15	8
OG0000659	15	7
OG0000660	15	14
OG0000661	19	16
OG0000662	29	17
OG0000663	22	16
OG0000664	20	6
OG0000665	24	17
OG0000666	62	62
OG0000667	30	25
OG0000668	27	20
OG0000669	54	51
OG0000670	27	14
OG0000671	20	12
OG0000672	18	15
OG0000673	24	21
OG0000674	15	13
OG0000675	11	7
OG0000676	17	15
OG0000677	18	7
OG0000678	30	22
OG0000679	16	10
OG0000680	16	10
OG0000681	16	10
OG0000682	24	15
OG0000683	17	10
OG0000684	15	11
OG0000685	20	14
OG0000686	25	20
OG0000687	20	12
OG0000688	18	10
OG0000689	24	15
OG0000690	19	11
OG0000691	17	11
OG0000692	18	12
OG0000693	20	14
OG0000694	22	16
OG0000695	14	8
OG0000696	9	6
OG0000697	20	11
OG0000698	20	14
OG0000699	19	9
OG0000700	21	17
OG0000701	13	7
OG0000702	17	13
OG0000703	23	20
OG0000704	43	39
OG0000705	18	16
OG0000706	12	6
OG0000707	37	33
OG0000708	14	12
OG0000709	8	4
OG0000710	15	6
OG0000711	14	11
OG0000712	14	6
OG0000713	15	13
OG0000714	20	13
OG0000715	19	13
OG0000716	16	12
OG0000717	11	7
OG0000718	23	13
OG0000719	13	9
OG0000720	57	55
OG0000721	15	7
OG0000722	13	11
OG0000723	20	12
OG0000724	21	16
OG0000725	16	14
OG0000726	24	22
OG0000727	57	57
OG0000728	21	14
OG0000729	19	9
OG0000730	17	10
OG0000731	19	13
OG0000732	17	11
OG0000733	18	13
OG0000734	22	19
OG0000735	11	6
OG0000736	12	10
OG0000737	14	9
OG0000738	18	17
OG0000739	40	24
OG0000740	42	39
OG0000741	13	10
OG0000742	12	6
OG0000743	19	17
OG0000744	15	9
OG0000745	15	8
OG0000746	18	16
OG0000747	18	14
OG0000748	19	13
OG0000749	14	10
OG0000750	9	4
OG0000751	39	34
OG0000752	23	18
OG0000753	14	8
OG0000754	15	13
OG0000755	17	14
OG0000756	19	17
OG0000757	38	38
OG0000758	13	11
OG0000759	11	3
OG0000760	15	11
OG0000761	21	17
OG0000762	18	11
OG0000763	20	15
OG0000764	21	19
OG0000765	28	24
OG0000766	16	12
OG0000767	20	15
OG0000768	16	7
OG0000769	11	6
OG0000770	18	13
OG0000771	13	10
OG0000772	15	11
OG0000773	18	13
OG0000774	20	14
OG0000775	23	15
OG0000776	18	15
OG0000777	14	10
OG0000778	35	34
OG0000779	18	16
OG0000780	20	17
OG0000781	13	8
OG0000782	33	25
OG0000783	21	14
OG0000784	19	13
OG0000785	13	7
OG0000786	17	15
OG0000787	27	23
OG0000788	16	12
OG0000789	17	13
OG0000790	11	8
OG0000791	26	19
OG0000792	10	6
OG0000793	12	6
OG0000794	17	15
OG0000795	11	9
OG0000796	16	13
OG0000797	14	9
OG0000798	25	21
OG0000799	13	9
OG0000800	16	11
OG0000801	13	10
OG0000802	22	17
OG0000803	23	16
OG0000804	17	14
OG0000805	16	7
OG0000806	45	44
OG0000807	14	12
OG0000808	17	10
OG0000809	27	23
OG0000810	10	5
OG0000811	19	14
OG0000812	12	8
OG0000813	14	12
OG0000814	15	9
OG0000815	18	13
OG0000816	13	7
OG0000817	23	19
OG0000818	32	28
OG0000819	20	14
OG0000820	17	7
OG0000821	17	12
OG0000822	12	6
OG0000823	13	5
OG0000824	12	9
OG0000825	20	12
OG0000826	17	12
OG0000827	15	9
OG0000828	15	11
OG0000829	19	14
OG0000830	18	16
OG0000831	9	6
OG0000832	13	9
OG0000833	9	4
OG0000834	19	16
OG0000835	17	12
OG0000836	8	3
OG0000837	18	14
OG0000838	39	31
OG0000839	19	14
OG0000840	14	8
OG0000841	18	13
OG0000842	12	4
OG0000843	10	6
OG0000844	21	18
OG0000845	14	10
OG0000846	19	10
OG0000847	12	10
OG0000848	14	7
OG0000849	13	9
OG0000850	21	16
OG0000851	17	9
OG0000852	10	6
OG0000853	19	16
OG0000854	16	11
OG0000855	21	17
OG0000856	17	11
OG0000857	13	8
OG0000858	15	14
OG0000859	38	34
OG0000860	14	9
OG0000861	15	8
OG0000862	36	35
OG0000863	17	14
OG0000864	18	11
OG0000865	13	10
OG0000866	12	5
OG0000867	29	26
OG0000868	20	15
OG0000869	12	8
OG0000870	17	11
OG0000871	30	28
OG0000872	26	14
OG0000873	15	14
OG0000874	14	9
OG0000875	14	9
OG0000876	18	11
OG0000877	20	18
OG0000878	14	12
OG0000879	12	9
OG0000880	24	20
OG0000881	13	7
OG0000882	13	11
OG0000883	19	11
OG0000884	21	18
OG0000885	35	20
OG0000886	47	45
OG0000887	45	45
OG0000888	18	15
OG0000889	13	10
OG0000890	12	8
OG0000891	14	10
OG0000892	16	8
OG0000893	13	9
OG0000894	14	8
OG0000895	14	11
OG0000896	31	11
OG0000897	26	22
OG0000898	15	12
OG0000899	15	9
OG0000900	13	8
OG0000901	9	8
OG0000902	12	11
OG0000903	16	13
OG0000904	17	14
OG0000905	11	9
OG0000906	13	12
OG0000907	17	8
OG0000908	15	8
OG0000909	9	5
OG0000910	25	19
OG0000911	13	13
OG0000912	11	10
OG0000913	15	10
OG0000914	29	25
OG0000915	45	42
OG0000916	48	48
OG0000917	9	7
OG0000918	20	18
OG0000919	16	12
OG0000920	11	4
OG0000921	12	9
OG0000922	15	10
OG0000923	9	7
OG0000924	15	10
OG0000925	11	4
OG0000926	15	9
OG0000927	13	9
OG0000928	8	6
OG0000929	24	16
OG0000930	11	7
OG0000931	13	8
OG0000932	18	12
OG0000933	14	8
OG0000934	18	17
OG0000935	13	12
OG0000936	19	13
OG0000937	13	12
OG0000938	23	19
OG0000939	9	3
OG0000940	15	8
OG0000941	13	9
OG0000942	34	23
OG0000943	18	14
OG0000944	14	7
OG0000945	16	10
OG0000946	25	13
OG0000947	49	49
OG0000948	14	8
OG0000949	11	7
OG0000950	18	11
OG0000951	16	6
OG0000952	12	7
OG0000953	13	8
OG0000954	14	10
OG0000955	11	8
OG0000956	19	19
OG0000957	13	12
OG0000958	9	5
OG0000959	12	4
OG0000960	7	4
OG0000961	18	16
OG0000962	8	5
OG0000963	10	5
OG0000964	22	13
OG0000965	10	7
OG0000966	20	15
OG0000967	23	16
OG0000968	21	18
OG0000969	7	3
OG0000970	7	4
OG0000971	15	13
OG0000972	13	10
OG0000973	9	3
OG0000974	24	20
OG0000975	18	14
OG0000976	24	15
OG0000977	16	14
OG0000978	12	11
OG0000979	14	12
OG0000980	19	17
